,Loop_x,Num_Nodes_x,Score_C,LCC_C,GE_C,Loop_y,Num_Nodes_y,Score_B,LCC_B,GE_B,Loop_x,Num_Nodes_x,Score_E,LCC_E,GE_E,Loop_y,Num_Nodes_y,Score_S_C,LCC_S_C,GE_S_C,Loop_x,Num_Nodes_x,Score_S_B,LCC_S_B,GE_S_B,Loop_y,Num_Nodes_y,Score_S_E,LCC_S_E,GE_S_E
10,11,390,0.11025358324145534,388,0.08129480948420757,11,390,0.161985415378272,338,0.06169348982893961,11,390,0.15554564950851554,367,0.07758566504911237,11,390,0.04718886186277491,193,0.04111937926902488,11,390,0.09694812471162086,147,0.03299652626049509,11,390,0.34524801266273253,353,0.06361755316342736
11,12,389,0.10982976386600769,349,0.07219763172344412,12,389,0.15137332011486165,324,0.05558101085857191,12,389,0.15027687187459599,365,0.07629962829869785,12,389,0.04041070440051262,193,0.04057806342051346,12,389,0.04688049364393678,144,0.03126530049230279,12,389,0.4159622602338148,352,0.0628893075041126
12,13,388,0.1092001092001092,349,0.07257074609927587,13,388,0.14159099317557966,305,0.05188073920965667,13,388,0.1494069252601881,364,0.07627809092454647,13,388,0.037837638103684,176,0.036772752858186805,13,388,0.06139215216175177,104,0.027469532179724362,13,388,0.4075616076245464,346,0.06118813147893755
13,14,387,0.1092001092001092,349,0.07294676032776953,14,387,0.13934362466411357,302,0.049095798882922634,14,387,0.1443449241613375,359,0.07514197595224797,14,387,0.036609275858946765,176,0.03440830653491542,14,387,0.037394063541792186,101,0.024872641506986357,14,387,0.4222198196499836,327,0.05206110979828935
14,15,386,0.1089621356578589,345,0.07090122136724629,15,386,0.13509791343437963,297,0.04719235520146457,15,386,0.13751068907979236,356,0.07157574237509917,15,386,0.03754243344648919,176,0.03070893216167737,15,386,0.034997644842204426,70,0.022583043238256283,15,386,0.5256006415530419,296,0.04725314517305796
15,16,385,0.10813733441470667,343,0.06958350594703597,16,385,0.13052420011066612,285,0.04489220031777973,16,385,0.13099700103946915,355,0.07120689023431956,16,385,0.0352924703329016,176,0.029111633750175867,16,385,0.02002164502164502,58,0.020513411477375836,16,385,0.4396716193880023,284,0.04393404079154048
16,17,384,0.1072961373390558,342,0.06959879723653234,17,384,0.13016865124571908,285,0.04506656305515135,17,384,0.12900698667593155,352,0.07060661845887038,17,384,0.030140817901234566,85,0.02429035650019828,17,384,0.011830939947780679,58,0.019386347239516807,17,384,0.42437108812609364,271,0.03736916985821273
17,18,383,0.10692328254477412,342,0.06973141759983639,18,383,0.12589232777108703,284,0.04293506031544206,18,383,0.12886152119680414,352,0.0709762866183409,18,383,0.02773862612352411,85,0.02269268584289641,18,383,0.011685554021480093,43,0.018012637780842635,18,383,0.45214983382118745,263,0.03588288776487751
18,19,382,0.1068090787716956,342,0.07008372004893182,19,382,0.10826685852437748,283,0.04294768740106094,19,382,0.12688703000121518,351,0.07104444433465917,19,382,0.026126172826706755,85,0.02037933822520174,19,382,0.008080141814733892,42,0.016993967292044807,19,382,0.4298764021311525,145,0.02776890712566184
19,20,381,0.10626992561105207,342,0.07029948683517469,20,381,0.10764763640703486,149,0.03097655261127355,20,381,0.10934221017039462,350,0.07101665412095046,20,381,0.026010793594620895,61,0.018373989942613005,20,381,0.00613344384583506,34,0.01608219997843328,20,381,0.5105088938902594,145,0.025594181764124414
20,21,380,0.10624169986719788,342,0.0706345857334393,21,380,0.10599973237567237,146,0.03064232866016774,21,380,0.10703969116564174,350,0.07136595276325884,21,380,0.02137323002938819,61,0.017482727312068683,21,380,0.004416053325926954,34,0.015400116718721633,21,380,0.4548913329437529,95,0.02043982576827954
21,22,379,0.10596026490066225,342,0.0709617789132027,22,379,0.10570629043749362,146,0.03080445738323741,22,379,0.10375129938303154,348,0.0710951205860542,22,379,0.02100316360151748,61,0.016580349494220888,22,379,0.0031550585640295406,34,0.015006973446767432,22,379,0.5188794530995823,86,0.018149405578737374
22,23,378,0.10576414595452142,342,0.07133823397375019,23,378,0.10463007717706967,145,0.03080938049628316,23,378,0.10287338064771163,348,0.07147228302948155,23,378,0.01967729240456513,39,0.015609804614673756,23,378,0.0030466553455059204,33,0.014657589145105038,23,378,0.5565690481773616,82,0.017885468862968393
23,24,377,0.10554089709762533,342,0.07165890454688331,24,377,0.1035586486056411,133,0.02953078640316221,24,377,0.10110230892047216,347,0.07146478846286859,24,377,0.01939799331103679,39,0.014970937875573314,24,377,0.003954323983671012,29,0.014017720049393473,24,377,0.49229190128522715,82,0.017221980454242114
24,25,376,0.10520778537611783,341,0.06968943154598024,25,376,0.10062005211441302,133,0.02968828393064574,25,376,0.09934684200246721,346,0.0714151820124779,25,376,0.019012007583737094,31,0.014094329011586004,25,376,0.0028794326241134752,27,0.013681219894354824,25,376,0.5643409624206059,82,0.01668102875194758
25,26,375,0.1049042748492001,341,0.07006210230291063,26,375,0.09909361291034231,133,0.02984704480728021,26,375,0.09692349703144817,345,0.07130905116521327,26,375,0.01818181818181818,30,0.01337574681133259,26,375,0.0027379679144385024,27,0.013152481872638937,26,375,0.5475861372273566,82,0.015606994660722611
26,27,374,0.10484927916120576,341,0.07043777041177342,27,374,0.09855473279157494,133,0.027311231766666926,27,374,0.09255591754252979,343,0.06864476748007677,27,374,0.0169072413654457,29,0.012852130330309236,27,374,0.0025089246032314948,27,0.012752951885981212,27,374,0.5873571803254942,82,0.01525455614311221
27,28,373,0.10484927916120576,341,0.07080205431104396,28,373,0.09647869674185464,133,0.0271379508784807,28,373,0.09247012121699706,337,0.06731579975471094,28,373,0.016038340174144107,29,0.01245055316212414,28,373,0.0024359306984923176,23,0.012490875655720088,28,373,0.38770806269049923,43,0.013447300871517168
28,29,372,0.10471204188481675,341,0.07118373654452667,29,372,0.09632206779575209,133,0.027111835814810657,29,372,0.0839842172608581,337,0.0676641966695988,29,372,0.015665554319614385,29,0.012177898280010719,29,372,0.002159232530504594,22,0.012070987279673174,29,372,0.40906721202285373,30,0.012643941363729863
29,30,371,0.10443864229765012,341,0.07156851349882141,30,371,0.09616664677566926,118,0.02528402137548756,30,371,0.07911497334734903,337,0.0680080943451932,30,371,0.015530740598126043,29,0.011975639960813298,30,371,0.0017338092809790922,20,0.011812655020202201,30,371,0.4231280629324197,30,0.012151543551053636
