cnt,Scenario 
0.166112957,Scenario A
1.022222222,Scenario A
7.5,Scenario A
1.528384279,Scenario A
0.779220779,Scenario A
0.778210117,Scenario A
0,Scenario A
1.326899879,Scenario A
1.098901099,Scenario A
1.13735783,Scenario A
0,Scenario A
1.236263736,Scenario A
1.340996169,Scenario A
0.991735537,Scenario A
0,Scenario A
0.67114094,Scenario A
1.450777202,Scenario A
1.522248244,Scenario A
0.74906367,Scenario A
0.185528757,Scenario A
1.196172249,Scenario A
1.346153846,Scenario A
1.160862355,Scenario A
0.895953757,Scenario A
1.146496815,Scenario A
9.455587393,Scenario A
1.915708812,Scenario A
0.852878465,Scenario A
1.460674157,Scenario A
0.498007968,Scenario A
0.307692308,Scenario A
9.205020921,Scenario A
0.418760469,Scenario A
0,Scenario A
0,Scenario A
1.110596946,Scenario A
0,Scenario A
0.882352941,Scenario A
1.136363636,Scenario A
2.074688797,Scenario A
0,Scenario A
1.293103448,Scenario A
7.437631149,Scenario A
0.970873786,Scenario A
7.520891365,Scenario A
0.609756098,Scenario A
0,Scenario A
0.896495518,Scenario A
0.441501104,Scenario A
0.273972603,Scenario A
5.220522052,Scenario A
1.115241636,Scenario A
0,Scenario A
2.727272727,Scenario A
0.387596899,Scenario A
1.039861352,Scenario A
0.179856115,Scenario A
1.048218029,Scenario A
1.454545455,Scenario A
0.938967136,Scenario A
1.085481682,Scenario A
0.96723869,Scenario A
0.104166667,Scenario A
0.712589074,Scenario A
0.97323601,Scenario A
1.70212766,Scenario A
7.654723127,Scenario A
1.538461538,Scenario A
3.086419753,Scenario A
0,Scenario A
0.541638456,Scenario A
0.995024876,Scenario A
7.282415631,Scenario A
1.181102362,Scenario A
1.271186441,Scenario A
1.10619469,Scenario A
1.151315789,Scenario A
1.410437236,Scenario A
0.924024641,Scenario A
1.123595506,Scenario A
1.704545455,Scenario A
4.99001996,Scenario A
0,Scenario A
5.808325266,Scenario A
1.414141414,Scenario A
2.127659574,Scenario A
0.340136054,Scenario A
0,Scenario A
1.052631579,Scenario A
1.666666667,Scenario A
0,Scenario A
0.399201597,Scenario A
0.084175084,Scenario A
1.025641026,Scenario A
0.764818356,Scenario A
0,Scenario A
0,Scenario A
0.666666667,Scenario A
0.595238095,Scenario A
0.534759358,Scenario A
1.151761518,Scenario A
1.195219124,Scenario A
0.296735905,Scenario A
0,Scenario A
0.706713781,Scenario A
1.793721973,Scenario A
0.5,Scenario A
0.895036615,Scenario A
0,Scenario A
1.515151515,Scenario A
2.681992337,Scenario A
0.355871886,Scenario A
0,Scenario A
5.617977528,Scenario A
1.342281879,Scenario A
0,Scenario A
2.857142857,Scenario A
0.293255132,Scenario A
1.785714286,Scenario A
0,Scenario A
2.028985507,Scenario A
0.380228137,Scenario A
1.492537313,Scenario A
0.959692898,Scenario A
0.952380952,Scenario A
0.943396226,Scenario A
2.976190476,Scenario A
0.564971751,Scenario A
10.14925373,Scenario A
2.881040892,Scenario A
-42.69094588,Scenario B (Beta = 1.76)
-49.79582032,Scenario B (Beta = 1.76)
-39.44499504,Scenario B (Beta = 1.76)
-30,Scenario B (Beta = 1.76)
-19.5250439,Scenario B (Beta = 1.76)
-19.31472081,Scenario B (Beta = 1.76)
-21.09732201,Scenario B (Beta = 1.76)
-19.25323851,Scenario B (Beta = 1.76)
-18.1512825,Scenario B (Beta = 1.76)
-19.74984558,Scenario B (Beta = 1.76)
-19.09955257,Scenario B (Beta = 1.76)
-27.83703072,Scenario B (Beta = 1.76)
-41.03911267,Scenario B (Beta = 1.76)
-13.83195331,Scenario B (Beta = 1.76)
-29.74137931,Scenario B (Beta = 1.76)
-25.03267974,Scenario B (Beta = 1.76)
-19.90602307,Scenario B (Beta = 1.76)
-12.15005599,Scenario B (Beta = 1.76)
-16.69946584,Scenario B (Beta = 1.76)
-12.97609308,Scenario B (Beta = 1.76)
-23.80112835,Scenario B (Beta = 1.76)
-11.63903061,Scenario B (Beta = 1.76)
-17.29879741,Scenario B (Beta = 1.76)
-15.58187548,Scenario B (Beta = 1.76)
-9.575005988,Scenario B (Beta = 1.76)
-12.07264427,Scenario B (Beta = 1.76)
-14.79502887,Scenario B (Beta = 1.76)
-15.57126647,Scenario B (Beta = 1.76)
-17.40517547,Scenario B (Beta = 1.76)
-11.33913495,Scenario B (Beta = 1.76)
-12.34766613,Scenario B (Beta = 1.76)
-11.31216437,Scenario B (Beta = 1.76)
-12.06795548,Scenario B (Beta = 1.76)
-20.05698006,Scenario B (Beta = 1.76)
-31.3755796,Scenario B (Beta = 1.76)
-8.527516113,Scenario B (Beta = 1.76)
-17.25516322,Scenario B (Beta = 1.76)
-54.21686747,Scenario B (Beta = 1.76)
-5.812688048,Scenario B (Beta = 1.76)
-43.51395731,Scenario B (Beta = 1.76)
-15.48235294,Scenario B (Beta = 1.76)
-11.10693367,Scenario B (Beta = 1.76)
-12.26546846,Scenario B (Beta = 1.76)
-19.03276131,Scenario B (Beta = 1.76)
-10.28954802,Scenario B (Beta = 1.76)
-7.233572612,Scenario B (Beta = 1.76)
-4.873659204,Scenario B (Beta = 1.76)
-12.31121758,Scenario B (Beta = 1.76)
-7.835906891,Scenario B (Beta = 1.76)
-5.797101449,Scenario B (Beta = 1.76)
-10.16353772,Scenario B (Beta = 1.76)
-21.16010654,Scenario B (Beta = 1.76)
-8.94627874,Scenario B (Beta = 1.76)
-7.525432038,Scenario B (Beta = 1.76)
-3.060592658,Scenario B (Beta = 1.76)
-12.95819015,Scenario B (Beta = 1.76)
-7.252223343,Scenario B (Beta = 1.76)
-28.1496063,Scenario B (Beta = 1.76)
-4.958300011,Scenario B (Beta = 1.76)
-3.866426243,Scenario B (Beta = 1.76)
-6.13450795,Scenario B (Beta = 1.76)
-21.02172637,Scenario B (Beta = 1.76)
-23.49846559,Scenario B (Beta = 1.76)
-4.885620915,Scenario B (Beta = 1.76)
-5.493951613,Scenario B (Beta = 1.76)
-7.160493827,Scenario B (Beta = 1.76)
-30.70175439,Scenario B (Beta = 1.76)
-5.528200537,Scenario B (Beta = 1.76)
-13.47477064,Scenario B (Beta = 1.76)
-18.8006483,Scenario B (Beta = 1.76)
-25.51834131,Scenario B (Beta = 1.76)
-18.04154303,Scenario B (Beta = 1.76)
-11.82389937,Scenario B (Beta = 1.76)
-1.399097895,Scenario B (Beta = 1.76)
-10.17857143,Scenario B (Beta = 1.76)
-4.072155742,Scenario B (Beta = 1.76)
-2.221043559,Scenario B (Beta = 1.76)
-14.3852459,Scenario B (Beta = 1.76)
-17.99518845,Scenario B (Beta = 1.76)
-13.81552215,Scenario B (Beta = 1.76)
-4.291176887,Scenario B (Beta = 1.76)
-9.832394163,Scenario B (Beta = 1.76)
-48.27586207,Scenario B (Beta = 1.76)
-3.084100039,Scenario B (Beta = 1.76)
-27.20090293,Scenario B (Beta = 1.76)
-16.91339748,Scenario B (Beta = 1.76)
-24.97704316,Scenario B (Beta = 1.76)
3.540839774,Scenario B (Beta = 1.76)
-8.695652174,Scenario B (Beta = 1.76)
15.48089592,Scenario B (Beta = 1.76)
-3.028118241,Scenario B (Beta = 1.76)
-2.857142857,Scenario B (Beta = 1.76)
-0.631578947,Scenario B (Beta = 1.76)
-0.915505277,Scenario B (Beta = 1.76)
0,Scenario B (Beta = 1.76)
0.53903953,Scenario B (Beta = 1.76)
-12.69630024,Scenario B (Beta = 1.76)
6.346430776,Scenario B (Beta = 1.76)
-4.647806005,Scenario B (Beta = 1.76)
3.463251058,Scenario B (Beta = 1.76)
-7.782101167,Scenario B (Beta = 1.76)
-3.471882641,Scenario B (Beta = 1.76)
-6.805293006,Scenario B (Beta = 1.76)
-27.10727969,Scenario B (Beta = 1.76)
11.58536585,Scenario B (Beta = 1.76)
0.408580184,Scenario B (Beta = 1.76)
-0.865384615,Scenario B (Beta = 1.76)
-17.43119266,Scenario B (Beta = 1.76)
-9.227799228,Scenario B (Beta = 1.76)
3.773584906,Scenario B (Beta = 1.76)
3.493699885,Scenario B (Beta = 1.76)
-15.78014184,Scenario B (Beta = 1.76)
11.97183099,Scenario B (Beta = 1.76)
10.46931408,Scenario B (Beta = 1.76)
-5.502392344,Scenario B (Beta = 1.76)
-3.368421053,Scenario B (Beta = 1.76)
2.33614536,Scenario B (Beta = 1.76)
8.522489904,Scenario B (Beta = 1.76)
-29.52302632,Scenario B (Beta = 1.76)
-14.56953642,Scenario B (Beta = 1.76)
7.751937984,Scenario B (Beta = 1.76)
15.64102564,Scenario B (Beta = 1.76)
14.52631579,Scenario B (Beta = 1.76)
13.44213486,Scenario B (Beta = 1.76)
-0.95357591,Scenario B (Beta = 1.76)
5.588822355,Scenario B (Beta = 1.76)
2.762307864,Scenario B (Beta = 1.76)
-22.77227723,Scenario B (Beta = 1.76)
-0.229885057,Scenario B (Beta = 1.76)
32.55520505,Scenario B (Beta = 1.76)
-2.73556231,Scenario B (Beta = 1.76)
25.02085071,Scenario B (Beta = 1.76)
-35.86744639,Scenario B (Beta = 1.76)
8.796764408,Scenario B (Beta = 1.76)
0.388726919,Scenario B (Beta = 1.76)
-10.29126214,Scenario B (Beta = 1.76)
-10.51004637,Scenario B (Beta = 1.76)
8.276450512,Scenario B (Beta = 1.76)
14.54891995,Scenario B (Beta = 1.76)
-13.14924392,Scenario B (Beta = 1.76)
-1.066391469,Scenario B (Beta = 1.76)
11.94874463,Scenario B (Beta = 1.76)
19.65637299,Scenario B (Beta = 1.76)
5.242055242,Scenario B (Beta = 1.76)
21.57238734,Scenario B (Beta = 1.76)
13.74626722,Scenario B (Beta = 1.76)
10.20506634,Scenario B (Beta = 1.76)
14.17322835,Scenario B (Beta = 1.76)
-15.52901024,Scenario B (Beta = 1.76)
8.378870674,Scenario B (Beta = 1.76)
5.935919056,Scenario B (Beta = 1.76)
-12.97669492,Scenario B (Beta = 1.76)
-11.77904143,Scenario B (Beta = 1.76)
0.946142649,Scenario B (Beta = 1.76)
-8.249158249,Scenario B (Beta = 1.76)
15.25042206,Scenario B (Beta = 1.76)
15.57894737,Scenario B (Beta = 1.76)
20.6712489,Scenario B (Beta = 1.76)
14.44677504,Scenario B (Beta = 1.76)
8.108108108,Scenario B (Beta = 1.76)
8.469308469,Scenario B (Beta = 1.76)
-4.639175258,Scenario B (Beta = 1.76)
4.724409449,Scenario B (Beta = 1.76)
24.4047619,Scenario B (Beta = 1.76)
9.44254835,Scenario B (Beta = 1.76)
10.79676674,Scenario B (Beta = 1.76)
-13.88888889,Scenario B (Beta = 1.76)
-18.28703704,Scenario B (Beta = 1.76)
28.57142857,Scenario B (Beta = 1.76)
-17.56935271,Scenario B (Beta = 1.76)
33.49358974,Scenario B (Beta = 1.76)
37.20930233,Scenario B (Beta = 1.76)
13.26530612,Scenario B (Beta = 1.76)
30.07063572,Scenario B (Beta = 1.76)
-12.11180124,Scenario B (Beta = 1.76)
41.26074499,Scenario B (Beta = 1.76)
9.115488606,Scenario B (Beta = 1.76)
0.821652972,Scenario B (Beta = 1.76)
14.61836999,Scenario B (Beta = 1.76)
18.95744248,Scenario B (Beta = 1.76)
20.45835662,Scenario B (Beta = 1.76)
25.31999412,Scenario B (Beta = 1.76)
54.3255132,Scenario B (Beta = 1.76)
12.65976872,Scenario B (Beta = 1.76)
22.8443449,Scenario B (Beta = 1.76)
-11.11111111,Scenario B (Beta = 1.76)
12.83179352,Scenario B (Beta = 1.76)
4.74871389,Scenario B (Beta = 1.76)
27.3458445,Scenario B (Beta = 1.76)
13.56170812,Scenario B (Beta = 1.76)
37.08609272,Scenario B (Beta = 1.76)
32.40418118,Scenario B (Beta = 1.76)
28.5467128,Scenario B (Beta = 1.76)
31.67426545,Scenario B (Beta = 1.76)
16.10738255,Scenario B (Beta = 1.76)
22.25952992,Scenario B (Beta = 1.76)
30.5,Scenario B (Beta = 1.76)
14.4820296,Scenario B (Beta = 1.76)
44.00670578,Scenario B (Beta = 1.76)
20.93291103,Scenario B (Beta = 1.76)
-6.139731828,Scenario B (Beta = 1.76)
14.72684086,Scenario B (Beta = 1.76)
22.78558338,Scenario B (Beta = 1.76)
32.75261324,Scenario B (Beta = 1.76)
30.08130081,Scenario B (Beta = 1.76)
34.21052632,Scenario B (Beta = 1.76)
16.23454328,Scenario B (Beta = 1.76)
-11.19592875,Scenario B (Beta = 1.76)
31.17569353,Scenario B (Beta = 1.76)
34.24947146,Scenario B (Beta = 1.76)
31.9500347,Scenario B (Beta = 1.76)
0.326797386,Scenario B (Beta = 1.76)
25.64102564,Scenario B (Beta = 1.76)
62.24832215,Scenario B (Beta = 1.76)
-2.666666667,Scenario B (Beta = 1.76)
-34.25925926,Scenario B (Beta = 1.76)
23.99891775,Scenario B (Beta = 1.76)
48.86039886,Scenario B (Beta = 1.76)
15.32091097,Scenario B (Beta = 1.76)
27.5390625,Scenario B (Beta = 1.76)
39.47368421,Scenario B (Beta = 1.76)
-10.6122449,Scenario B (Beta = 1.76)
29.06724512,Scenario B (Beta = 1.76)
47.43112435,Scenario B (Beta = 1.76)
18.47887324,Scenario B (Beta = 1.76)
21.40906608,Scenario B (Beta = 1.76)
26.86703097,Scenario B (Beta = 1.76)
19.14368053,Scenario B (Beta = 1.76)
-0.560747664,Scenario B (Beta = 1.76)
45.28301887,Scenario B (Beta = 1.76)
37.56038647,Scenario B (Beta = 1.76)
47.45762712,Scenario B (Beta = 1.76)
40.54054054,Scenario B (Beta = 1.76)
53.28947368,Scenario B (Beta = 1.76)
-4.005722461,Scenario B (Beta = 1.76)
44.045677,Scenario B (Beta = 1.76)
32.29166667,Scenario B (Beta = 1.76)
29.40074906,Scenario B (Beta = 1.76)
-2.583586626,Scenario B (Beta = 1.76)
46.55172414,Scenario B (Beta = 1.76)
38.10402066,Scenario B (Beta = 1.76)
12.61682243,Scenario B (Beta = 1.76)
79.37273824,Scenario B (Beta = 1.76)
73.28077092,Scenario B (Beta = 1.76)
45.80152672,Scenario B (Beta = 1.76)
3.159340659,Scenario B (Beta = 1.76)
47.82608696,Scenario B (Beta = 1.76)
51.82829889,Scenario B (Beta = 1.76)
40.05235602,Scenario B (Beta = 1.76)
34.00961025,Scenario B (Beta = 1.76)
25.83333333,Scenario B (Beta = 1.76)
26.31865144,Scenario B (Beta = 1.76)
65.55183946,Scenario B (Beta = 1.76)
7.157676349,Scenario B (Beta = 1.76)
52.36907731,Scenario B (Beta = 1.76)
32.31396534,Scenario B (Beta = 1.76)
56.41791045,Scenario B (Beta = 1.76)
34.07466243,Scenario B (Beta = 1.76)
6.360424028,Scenario B (Beta = 1.76)
33.50515464,Scenario B (Beta = 1.76)
27.95275591,Scenario B (Beta = 1.76)
11.9266055,Scenario B (Beta = 1.76)
53.63881402,Scenario B (Beta = 1.76)
7.216494845,Scenario B (Beta = 1.76)
55.82010582,Scenario B (Beta = 1.76)
68.55895197,Scenario B (Beta = 1.76)
